mass	w/o res 	w/res   	Fres
1463	13.11557651	12.10151965	52.0558434
1464	12.35179839	11.72236484	49.9463921
1465	11.58800528	11.31944326	47.7205849
1466	10.8392172	10.89706208	45.4419785
1467	10.11632874	10.45966087	43.1609001
1468	9.431909423	10.0116492	40.9381828
1469	8.789842851	9.557364265	38.7999039
1470	8.190686727	9.100928828	36.7583046
1471	7.633448293	8.646185902	34.8186531
1472	7.116753168	8.196653782	32.984127
1473	6.638678948	7.755448383	31.2548256
1474	6.196933051	7.32527481	29.6285038
1475	5.78828752	6.908399635	28.0976257
1476	5.409568629	6.506664484	26.6539955
1477	5.059146536	6.12148392	25.2961273
1478	4.735272663	5.753884234	24.0214825
1479	4.435792987	5.404528567	22.824852
1480	4.158977496	5.073745633	21.702652
1481	3.903036129	4.761585723	20.650404
1482	3.666274614	4.467853398	19.6636391
1483	3.447065729	4.192151531	18.7377567
1484	3.243304853	3.933927722	17.865015
1485	3.053736933	3.692502293	17.0418282
1486	2.877409375	3.46710684	16.2659168
1487	2.71339098	3.256916271	15.5348635
1488	2.560625258	3.061072657	14.8452396
1489	2.41837513	2.878701709	14.1951847
1490	2.285749578	2.708938407	13.5816917
1491	2.162064025	2.550933407	13.0027723
1492	2.046629731	2.403869348	12.4561663
1493	1.938781572	2.266962856	11.93958
1494	1.837936456	2.139471999	11.4510393
1495	1.743436202	2.020697676	10.987916
1496	1.654991152	1.909987537	10.5497437
1497	1.572085059	1.806731916	10.1345167
1498	1.494310374	1.71036663	9.74078083
1499	1.42132744	1.620370234	9.36740875
1500	1.352716343	1.536258297	9.01264286
1501	1.288244998	1.457587153	8.67586994
1502	1.227578406	1.383946255	8.35570717
1503	1.170455034	1.314956481	8.05117607
1504	1.116661332	1.250268166	7.76156569
1505	1.065935767	1.189556789	7.48575926
1506	1.018084531	1.132518794	7.22304249
1507	0.972917352	1.078870585	6.97267771
1508	0.930313109	1.028341473	6.73436642
1509	0.890032664	0.980671579	6.50691509
1510	0.851947677	0.935607754	6.28987551
1511	0.815922032	0.89289784	6.08271122
1512	0.781807311	0.852288961	5.88474894
1513	0.749480801	0.81352284	5.6954689
1514	0.718841244	0.7763348	5.51448154
1515	0.689774858	0.740453323	5.34126806
1516	0.66220531	0.705600715	5.17557335
1517	0.636022189	0.671499508	5.01684666
1518	0.611160357	0.637878513	4.86487198
1519	0.587522414	0.60448221	4.7191534
1520	0.56504025	0.571084087	4.57939768
1521	0.543659151	0.537499051	4.44541216
1522	0.523295174	0.503598599	4.31673908
1523	0.503893885	0.469322062	4.19314671
1524	0.485419492	0.434686756	4.07454157
1525	0.467801285	0.399792923	3.96052551
1526	0.451004548	0.364822953	3.850986
1527	0.434979092	0.330033909	3.74566793
1528	0.419686365	0.295743831	3.64440441
