# MM 		 CS 		 Bin width 	 err@stat 	 error
1.355000	0.292515	0.005000	0.110566	0.112041
1.365000	0.441902	0.005000	0.133250	0.136029
1.375000	0.751378	0.005000	0.168040	0.174348
1.385000	1.005829	0.005000	0.193614	0.203361
1.395000	0.606855	0.005000	0.147204	0.151909
1.405000	0.488679	0.005000	0.130620	0.134065
1.415000	1.278104	0.005000	0.210182	0.224530
1.425000	2.737616	0.005000	0.308203	0.351568
1.435000	4.964027	0.005000	0.407163	0.509678
1.445000	6.782657	0.005000	0.471085	0.630301
1.455000	6.281189	0.005000	0.450522	0.594435
1.465000	4.114888	0.005000	0.359905	0.440495
1.475000	2.434985	0.005000	0.275882	0.314159
1.485000	1.328036	0.005000	0.200282	0.216395
1.495000	1.134260	0.005000	0.184059	0.196909
1.505000	0.706796	0.005000	0.144303	0.150744
1.515000	0.528267	0.005000	0.124532	0.128724
1.525000	0.229201	0.005000	0.081040	0.082263
1.535000	0.168354	0.005000	0.068734	0.069513
1.545000	0.280526	0.005000	0.088718	0.090388
1.555000	0.423575	0.005000	0.109380	0.112454
1.565000	0.276894	0.005000	0.087569	0.089217
1.575000	0.111422	0.005000	0.055713	0.056135
1.585000	0.273266	0.005000	0.086422	0.088047
1.595000	0.109053	0.005000	0.054528	0.054941

