# MM 		 CS 		 Bin width 	 err@stat 	 shape err 	 error
1.355000 	 0.000000 	 0.005000 	 0.000000 	 0.000000 	 0.000000 
1.365000 	 0.292785 	 0.005000 	 0.051757 	 0.148404 	 0.149403 
1.375000 	 0.624598 	 0.005000 	 0.087461 	 0.135240 	 0.140155 
1.385000 	 1.247617 	 0.005000 	 0.122339 	 0.165391 	 0.180984 
1.395000 	 2.505594 	 0.005000 	 0.184215 	 0.235814 	 0.278194 
1.405000 	 4.067561 	 0.005000 	 0.221574 	 0.311652 	 0.393111 
1.415000 	 5.995169 	 0.005000 	 0.267844 	 0.423324 	 0.551286 
1.425000 	 8.713960 	 0.005000 	 0.355746 	 0.564588 	 0.763044 
1.435000 	 8.009180 	 0.005000 	 0.305792 	 0.630448 	 0.787429 
1.445000 	 5.575165 	 0.005000 	 0.205503 	 0.673555 	 0.749352 
1.455000 	 5.733628 	 0.005000 	 0.206894 	 0.657817 	 0.739454 
1.465000 	 3.578782 	 0.005000 	 0.132457 	 0.467334 	 0.512681 
1.475000 	 2.554814 	 0.005000 	 0.116008 	 0.407981 	 0.434853 
1.485000 	 2.027588 	 0.005000 	 0.111785 	 0.316649 	 0.338425 
1.495000 	 1.767794 	 0.005000 	 0.116819 	 0.241459 	 0.262956 
1.505000 	 1.080793 	 0.005000 	 0.085983 	 0.170170 	 0.181689 
1.515000 	 1.227700 	 0.005000 	 0.099580 	 0.179725 	 0.193729 
1.525000 	 0.977609 	 0.005000 	 0.097276 	 0.149715 	 0.160408 
1.535000 	 0.618485 	 0.005000 	 0.073401 	 0.114166 	 0.119838 
1.545000 	 0.622991 	 0.005000 	 0.076685 	 0.113829 	 0.119599 
1.555000 	 0.285439 	 0.005000 	 0.041200 	 0.107580 	 0.108886 
1.565000 	 0.187646 	 0.005000 	 0.034845 	 0.048115 	 0.049368 
1.575000 	 0.083192 	 0.005000 	 0.013321 	 0.038198 	 0.038512 
1.585000 	 0.135591 	 0.005000 	 0.026094 	 0.058562 	 0.059104 
1.595000 	 0.352833 	 0.005000 	 0.058005 	 0.079528 	 0.082199 

