# MM 		 CS 		 Bin width 	 err@stat 	 shape err 	 error
1.355000 	 1.690082 	 0.005000 	 0.468744 	 0.549101 	 0.558053 
1.365000 	 1.369900 	 0.005000 	 0.242166 	 0.303607 	 0.314147 
1.375000 	 2.309804 	 0.005000 	 0.323437 	 0.375978 	 0.399839 
1.385000 	 2.699721 	 0.005000 	 0.264729 	 0.330213 	 0.366512 
1.395000 	 5.175752 	 0.005000 	 0.380529 	 0.490249 	 0.577318 
1.405000 	 8.050697 	 0.005000 	 0.438549 	 0.579704 	 0.748967 
1.415000 	 15.089870 	 0.005000 	 0.674166 	 0.908495 	 1.271009 
1.425000 	 15.717268 	 0.005000 	 0.641655 	 1.019719 	 1.377314 
1.435000 	 18.428413 	 0.005000 	 0.703600 	 1.324061 	 1.712169 
1.445000 	 22.900934 	 0.005000 	 0.844140 	 1.578188 	 2.076163 
1.455000 	 28.210912 	 0.005000 	 1.017974 	 1.701592 	 2.378427 
1.465000 	 22.584068 	 0.005000 	 0.835874 	 1.292557 	 1.854849 
1.475000 	 16.116121 	 0.005000 	 0.731795 	 1.021365 	 1.394421 
1.485000 	 9.448179 	 0.005000 	 0.520895 	 0.729344 	 0.917437 
1.495000 	 6.034876 	 0.005000 	 0.398796 	 0.550952 	 0.655682 
1.505000 	 4.376148 	 0.005000 	 0.348148 	 0.453981 	 0.522062 
1.515000 	 4.103032 	 0.005000 	 0.332800 	 0.416109 	 0.481208 
1.525000 	 2.835544 	 0.005000 	 0.282147 	 0.352351 	 0.389935 
1.535000 	 1.192076 	 0.005000 	 0.141473 	 0.202898 	 0.214706 
1.545000 	 1.369061 	 0.005000 	 0.168520 	 0.213711 	 0.228421 
1.555000 	 1.304006 	 0.005000 	 0.188217 	 0.221958 	 0.234874 
1.565000 	 0.355361 	 0.005000 	 0.065989 	 0.205791 	 0.206853 
1.575000 	 0.578915 	 0.005000 	 0.092701 	 0.139151 	 0.143269 
1.585000 	 0.485368 	 0.005000 	 0.093409 	 0.113289 	 0.116841 
1.595000 	 0.495279 	 0.005000 	 0.081423 	 0.162115 	 0.164720 

