# MM 		 CS 		 Bin width 	 err@stat 	 error
1.355000	0.155621	0.005000	0.155622	0.155941
1.365000	0.126292	0.005000	0.089304	0.089650
1.375000	0.277147	0.005000	0.113150	0.114448
1.385000	0.083291	0.005000	0.058897	0.059122
1.395000	0.233597	0.005000	0.095370	0.096459
1.405000	0.330118	0.005000	0.110047	0.111924
1.415000	0.939538	0.005000	0.184297	0.193233
1.425000	2.370897	0.005000	0.291993	0.326705
1.435000	4.408452	0.005000	0.390062	0.475742
1.445000	5.327012	0.005000	0.428413	0.540204
1.455000	6.701793	0.005000	0.468858	0.625360
1.465000	5.056022	0.005000	0.406625	0.512638
1.475000	2.626673	0.005000	0.290261	0.332478
1.485000	1.460071	0.005000	0.215357	0.233456
1.495000	1.010314	0.005000	0.178647	0.189216
1.505000	0.696454	0.005000	0.148512	0.154607
1.515000	0.369650	0.005000	0.106719	0.109130
1.525000	0.430762	0.005000	0.115139	0.118167
1.535000	0.361563	0.005000	0.104385	0.106741
1.545000	0.210924	0.005000	0.079727	0.080781
1.555000	0.300646	0.005000	0.095080	0.096872
1.565000	0.181915	0.005000	0.074270	0.075113
1.575000	0.271471	0.005000	0.090497	0.092033
1.585000	0.240112	0.005000	0.084898	0.086180
1.595000	0.090612	0.005000	0.052316	0.052614

